STT;Name;English Name;image;Calories;Chất đạm;Chất béo;Carbohydrate;Vitamin A;Potassium;MUFA+PUFA;Canxi;Sắt;Kẽm;Natri;Cholesterol;Magie;Beta-caroten;Vitamin C;Sodium;Transfat;Category
1;Bánh đúc tàu;Rice cake made of rice flour and lime water;https://viendinhduong.vn/storage/app/uploads/public/2025/11/14/banh_duc_tau.webp;175,6;9,6;2,2;29,3;8,5;11,4;22,6;168,7;2;0,5;671,6;57,2;62,4;;;;0;Bánh
2;Bánh cuốn trứng;Egg stuffed pancake;https://viendinhduong.vn/storage/app/uploads/public/2025/11/14/banh_cuon_trung.webp;537,6;22,6;28,5;47,7;172,4;0;22,6;96,8;4,5;2,7;1161,5;491,8;107,3;41,5;10;;0;Trứng & Sữa
3;Bánh cuốn thịt;Pork stuffed pancake;https://viendinhduong.vn/storage/app/uploads/public/2025/11/14/banh_cuon_thit.webp;493,1;13,8;19,8;65;31,4;0;0;83,8;2,7;2,1;1580,7;16,7;124,9;362,7;28,2;;0;Bánh
4;Bánh cuốn nhân tôm thịt;Stuffed rice pancake with shrimp and pork;https://viendinhduong.vn/storage/app/uploads/public/2025/11/14/banh_cuon_nhan_tom_thit.webp;475,7;12,5;19,1;63,4;16;0;0;60,7;2,5;2,1;1016,4;28,7;107,8;160,1;14,4;;0;Bánh
5;Bánh cuốn chay chả;Vegetarian steamed pancake with 'chả';https://viendinhduong.vn/storage/app/uploads/public/2025/11/14/banh_cuon_chay_cha_hp.webp;673,4;13;36,2;73,9;3,9;0;0;57,7;3;3,7;1049;28,8;172;40,9;9,6;;0;Bánh
6;Bánh bột lọc 6 cái;Vietnamese Tapioca Dumplings (6 pieces);https://viendinhduong.vn/storage/app/uploads/public/2025/11/13/banh_bot_loc_6_cai_hp.webp;335,2;7,4;14,4;44;70,1;0;0;67;1,5;0,3;1288,5;11,9;41,6;735,5;20,9;;0;Bánh
7;Bánh bột lọc (5 cái);Vietnamese Tapioca Dumplings (5 pieces);https://viendinhduong.vn/storage/app/uploads/public/2025/11/10/banh_bot_loc_5_cai_hp.webp;199,9;4,3;8,7;26,1;8,9;0;0;26,2;0,7;0,1;743,5;14,7;19,8;84,8;10,7;;0;Bánh
8;Bánh bèo 2 cái;Two water fern cake;https://viendinhduong.vn/storage/app/uploads/public/2025/11/10/banh_beo_2_cai_hp.webp;899;35,8;47,5;82,2;33,1;0;0;155,5;5,2;2,6;1741,5;40,2;201,4;368,3;35,4;;0;Bánh
9;Bánh bèo;Water fern cake;https://viendinhduong.vn/storage/app/uploads/public/2025/11/10/banh_beo_hp.webp;451,1;19;17,2;55,1;5,4;0;0;170,8;5,7;1,3;926,3;0;22,4;57,1;14,6;;0;Bánh
10;Bánh mì - xôi chảo;Baguette with combo pan;https://viendinhduong.vn/storage/app/uploads/public/2025/11/10/banh_mi_xoi_chao_hp.webp;995,8;41,4;62,6;66,7;645,4;0;0;92,9;6,3;2;2261,9;116,1;125,2;36,5;23,3;;0;Tinh bột
11;Xôi xéo thập cẩm;Turmeric sticky rice with mung beans and mixed toppings;https://viendinhduong.vn/storage/app/uploads/public/2025/11/10/xoi_xeo_thap_cam_hp.webp;789,9;27,8;28,2;106,3;346,6;0;0;70,9;6,9;4,3;95,2;279,8;58,9;520,3;2,6;;0;Tinh bột
12;Xôi xéo đùi gà sốt;Sticky rice with mung bean, chicken thigh, and sauce;https://viendinhduong.vn/storage/app/uploads/public/2025/11/10/xoi_xeo_dui_ga_sot.webp;612,6;29,5;9,2;102,9;61,8;0;0;52,2;2,8;4,6;43,1;0,9;31,5;517,6;2,6;;0;Tinh bột
13;Xôi thịt thập cẩm;Sticky Rice with Mixed Meat;https://viendinhduong.vn/storage/app/uploads/public/2025/11/10/xoi_thit_thap_cam_hp2.webp;856,4;36,8;20,9;130,2;178;0;0;76,9;4,5;5;889,3;62,1;75;67,6;5,1;;0;Tinh bột
14;Xôi thịt;Sticky rice with braised pork;https://viendinhduong.vn/storage/app/uploads/public/2025/11/10/xoi_thit_hp.webp;785;42,3;10,1;131,3;229,4;0;0;83,4;5,7;6,5;380,3;96,8;65,3;1986,9;43,5;;0;Tinh bột
15;Xôi đỗ đen;Black Bean Sticky Rice;https://viendinhduong.vn/storage/app/uploads/public/2025/11/10/xoi_do_den_hp.webp;677,8;19;24,6;95;1,4;0;0;145,5;10,3;3,5;741,8;7,6;91,7;16,2;4,6;;0;Tinh bột
16;Xúc xích rán (5 cái);Fried sausages (5 pieces);https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_85.webp;333,2;18,5;27,1;4;34,5;0;0;11,6;1,3;2,5;291;84,9;19,4;77,1;9;;0;Khác
17;Trứng vịt lộn;Balut;https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_84.webp;118,2;8,8;8;2,7;587,3;0;0;56;2;;60,7;;10,4;280,3;2,2;;0;Trứng & Sữa
18;Thịt xiên nướng;Grilled meat skewers;https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_83.webp;227,4;31,3;11;0,9;3,9;0;0;36,5;1,1;3,6;2,5;;1,2;25,7;3;;0;Khác
19;Sắn luộc;Boiled cassava;https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_82.webp;281,7;2;0,4;67,7;1,2;14,3;60,7;44,6;2,1;;3,6;;7,1;;;;0;Khác
20;Quẩy rán;Fried dough sticks;https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_81.webp;150,4;4,1;5,5;21,1;;0;0;;;;;;;;;;0;Khác
21;Quả xoài dầm;Shredded mango;https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_80.webp;360,7;4,2;1;83,7;90,9;0;0;30,5;1,3;0,5;;;;1090,4;139,2;1865,4;0;Trái cây
22;Ngô luộc;Boiled corn;https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_79.webp;286,4;6,5;3,7;56,8;;0;0;30;1,3;;;;;;;;0;Khác
23;Nem rán (4 cái);Fried spring rolls;https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_78.webp;413,2;14,2;24,1;34,8;113,9;0;0;111,2;3,8;1,9;1661,7;145,7;79,7;876,6;37,8;;0;Khác
24;Nem chua rán 5 cái;Fried fermented pork rolls;https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_77.webp;157,9;25;4,3;4,9;;0;0;27,6;;547,4;;;98,9;;;;0;Khác
25;Khoai tây chiên;French fries;https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_76.webp;296;3,8;12,9;41,3;0,8;0;0;18,8;2,3;0,6;13,1;;60;9,4;18,8;;0;Khác
26;Khoai lang mật nướng;Roasted honey sweet potato;https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_75.webp;746,2;4,8;1,2;179;75,1;0;0;204,3;6;1,2;186,3;;1207,7;901,2;138,2;;0;Khác
27;Khoai lang luộc;Boiled sweet potato;https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_74.webp;393,3;2,5;0,6;94,4;39,6;0;0;107,7;3,2;0,6;98,2;;636,5;475;72,8;;0;Khác
28;Khoai lang chiên;Fried sweet potato;https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_73.webp;376,8;2,2;23,4;39,4;11,3;0;0;59,9;1,2;0,5;31;;204;135,5;20,8;;0;Khác
